Time	Component	Volatility OIS	Volatility Spread
0	0	0.0	0.0
0	1	0.36842883888509187	0.36842883888509187
0	2	0.4021920276213834	0.4021920276213834
0	3	0.4116087270705197	0.41160872707051965
0	4	0.4043960677054994	0.40439606770549935
0	5	0.38627341323001446	0.38627341323001446
0	6	0.3614330542946424	0.3614330542946424
0	7	0.3329059013211687	0.3329059013211687
0	8	0.30284477699198314	0.30284477699198314
0	9	0.2727431655656179	0.2727431655656179
0	10	0.24360350982590284	0.24360350982590287
0	11	0.216066158806551	0.216066158806551
0	12	0.19050770190776614	0.19050770190776614
0	13	0.1671155509822512	0.16711555098225114
0	14	0.14594415030052313	0.1459441503005231
0	15	0.12695702433805306	0.12695702433805306
0	16	0.11005795074158878	0.11005795074158876
0	17	0.0951138193869292	0.0951138193869292
0	18	0.08197116734187763	0.08197116734187762
0	19	0.07046793134692157	0.07046793134692157
0	20	0.06044160833282279	0.060441608332822784
0	21	0.051734740030648076	0.05173474003064807
0	22	0.04419842365104638	0.04419842365104638
0	23	0.03769438404237589	0.03769438404237589
0	24	0.032096013491178084	0.03209601349117808
0	25	0.027288685346296145	0.02728868534629614
0	26	0.023169570567195232	0.023169570567195232
0	27	0.019647127100365088	0.019647127100365088
0	28	0.01664038672417318	0.016640386724173176
0	29	0.014078129565997527	0.014078129565997525
0	30	0.01189801044799852	0.011898010447998519
0	31	0.010045681649663884	0.010045681649663884
0	32	0.00847394209318706	0.00847394209318706
0	33	0.00714193219712644	0.007141932197126439
0	34	0.006014385798361938	0.006014385798361938
0	35	0.005060944908827567	0.005060944908827567
0	36	0.004255539107747074	0.0042555391077470734
0	37	0.003575828652608001	0.003575828652608001
0	38	0.0030027086006436626	0.003002708600643662
0	39	0.002519870120725684	0.002519870120725684
1	0	0.0	0.0
1	1	0.0	0.0
1	2	0.36842883888509165	0.3684288388850916
1	3	0.4021920276213835	0.40219202762138345
1	4	0.4116087270705198	0.41160872707051976
1	5	0.40439606770549935	0.40439606770549935
1	6	0.38627341323001446	0.38627341323001446
1	7	0.3614330542946424	0.3614330542946424
1	8	0.3329059013211687	0.3329059013211687
1	9	0.30284477699198326	0.30284477699198326
1	10	0.2727431655656178	0.2727431655656178
1	11	0.24360350982590284	0.24360350982590281
1	12	0.21606615880655103	0.21606615880655103
1	13	0.1905077019077661	0.19050770190776606
1	14	0.16711555098225128	0.16711555098225125
1	15	0.14594415030052307	0.14594415030052307
1	16	0.1269570243380531	0.12695702433805306
1	17	0.11005795074158868	0.11005795074158868
1	18	0.09511381938692923	0.09511381938692921
1	19	0.08197116734187761	0.0819711673418776
1	20	0.07046793134692163	0.07046793134692161
1	21	0.0604416083328228	0.060441608332822784
1	22	0.051734740030648076	0.051734740030648076
1	23	0.04419842365104635	0.04419842365104635
1	24	0.0376943840423759	0.0376943840423759
1	25	0.032096013491178084	0.032096013491178084
1	26	0.02728868534629613	0.02728868534629613
1	27	0.023169570567195232	0.023169570567195236
1	28	0.019647127100365095	0.019647127100365095
1	29	0.016640386724173176	0.016640386724173176
1	30	0.014078129565997528	0.014078129565997527
1	31	0.011898010447998522	0.011898010447998522
1	32	0.01004568164966388	0.01004568164966388
