0,1
0.003,0.999997
0.006,0.999994
0.014,0.999986
0.022,0.99998
0.042,0.999965
0.061,0.999948
0.089,0.999921
0.172,0.999842
0.256,0.999735
0.344,0.999618
0.422,0.999508
0.506,0.999376
0.592,0.999226
0.672,0.999071
0.756,0.998904
0.839,0.998729
0.928,0.998531
1.011,0.998315
1.256,0.997686
1.506,0.996907
1.761,0.995952
2.008,0.994854
3.006,0.988597
4.006,0.978658
5.006,0.965018
6.006,0.9481
7.011,0.928327
8.006,0.906842
9.006,0.88405
10.006,0.860553
11.006,0.836428
12.011,0.811818
15.006,0.742188
20.006,0.646927
25.006,0.570477
30.008,0.506905
