i	j	k	mean1	mean2	variance1	variance2	correlation	probabilitySum	probabilitySimApprox	probabilityBlackApprox	probabilitySimLevy	probabilitySimJu	probabilitySimHo	probabilityBlackLevy	probabilityBlackJu	probabilityBlackHo	normalizedErrorSimApprox	normalizedErrorBlackApprox	normalizedErrorSimLevy	normalizedErrorSimJu	normalizedErrorSimHo	normalizedErrorBlackLevy	normalizedErrorBlackJu	normalizedErrorBlackHo
0	0	8	-1.0	-2.0	0.1	0.0	0.8	0.046222366096403726	0.04629868978565558	0.04630728633608275	0.046830561538592455	0.04632498630459782	0.0	0.04683929053643021	0.046333715302435574	0.0	0.0016498663687787214	0.001835524881950319	0.01307203239374477	0.0022176800423083973	2.0	0.0132584022753969	0.002406091622484017	2.0
0	1	8	-1.0	-2.0	0.6	0.6	0.8	0.1460011255691911	0.14587423726344492	0.1458951505790823	0.14608843346077707	0.14602222848617205	0.0	0.1461094430994302	0.14604323812482517	0.0	8.694691084216584E-4	7.26114025894251E-4	5.978159019167315E-4	1.44528967891778E-4	2.0	7.41620070323288E-4	2.883983453842646E-4	2.0
0	2	8	-1.0	-2.0	1.1	1.2	0.8	0.19626446796302102	0.1958639119835248	0.19585672229171366	0.19627198640943005	0.19622714082656362	0.0	0.19626491733026044	0.196220071747394	0.0	0.002042983879671418	0.002079692102548567	3.830699709688121E-5	1.902060356017228E-4	2.0	2.289597957530085E-6	2.2623166588816462E-4	2.0
0	3	8	-1.0	-2.0	1.6	1.7999999999999998	0.8	0.23317272687799526	0.23256159544478447	0.23262870692179827	0.23321592593828697	0.23317320258128169	0.0	0.23328392262950326	0.23324119927249798	0.0	0.002624377907828917	0.0023358449189781368	1.8524919090913913E-4	2.040130539921073E-6	2.0	4.7676778378186917E-4	2.9361213576040954E-4	2.0
0	4	8	-1.0	-2.0	2.1	2.4	0.8	0.26280357470196186	0.26193396194505936	0.2620423891295037	0.2628614705840292	0.26281263879942657	0.0	0.26297157223124257	0.26292274044663994	0.0	0.0033144675048755773	0.002900605605886149	2.202767050483241E-4	3.448941349935014E-5	2.0	6.390470537096286E-4	4.5333756840530313E-4	2.0
0	5	8	-1.0	-2.0	2.6	3.0	0.8	0.28754034613009694	0.28637613740712814	0.28654460269088033	0.28759049898594874	0.28753225685835043	0.0	0.28776157347170145	0.28770333134410314	0.0	0.004057066686056539	0.003468975946021932	1.7440502896930998E-4	2.8133045130183658E-5	2.0	7.690825775712271E-4	5.666649470076652E-4	2.0
0	6	8	-1.0	-2.0	3.1	3.5999999999999996	0.8	0.30875469904612207	0.3072059612891028	0.3074565490911408	0.30871094185404796	0.30864289121654354	0.0	0.30896676078246954	0.3088987101449651	0.0	0.005028690488695743	0.004213327682366877	1.4173158529216535E-4	3.6219068989553E-4	2.0	6.865933924533318E-4	4.6631685893760104E-4	2.0
0	7	8	-1.0	-2.0	3.6	4.2	0.8	0.32736942349353215	0.32550899117236753	0.3255954189240241	0.3273185362898549	0.327241986221868	0.0	0.32739845126123124	0.32732190119324434	0.0	0.005699169338035674	0.005433690925655111	1.5545483284610265E-4	3.893524303817084E-4	2.0	8.86658274429173E-5	1.451746754412936E-4	2.0
0	8	8	-1.0	-2.0	4.1	4.8	0.8	0.3439662134418836	0.34167297659680085	0.3415121484260262	0.3437702094570377	0.3436873589422102	0.0	0.34360324762631006	0.3435203971114826	0.0	0.0066893400447351065	0.007160153120428694	5.699973952804139E-4	8.110319232593259E-4	2.0	0.0010557938830199056	0.0012969454926320232	2.0
0	9	8	-1.0	-2.0	4.6	5.3999999999999995	0.8	0.35702109002282484	0.35637536006754056	0.3556010029117914	0.3587724885990002	0.35868586660865204	0.0	0.357972123667474	0.35788550167712585	0.0	0.001810297640820853	0.003985526480621513	0.004893585604798113	0.004652117938499808	2.0	0.0026602592204773012	0.0024182506199741656	2.0
1	0	8	-2.2	-2.6	0.1	0.0	0.8	0.013921978171636788	0.013952999070510046	0.013957704443969793	0.014176338261523945	0.013923178411132	0.0	0.01418113289954663	0.013927973049154685	0.0	0.0022257165344949604	0.002562889457931343	0.018105005721052343	8.620813401741862E-5	2.0	0.018443134445394326	4.3051260451916896E-4	2.0
1	1	8	-2.2	-2.6	0.6	0.6	0.8	0.05325882508393457	0.053164458884193695	0.053170541715927194	0.05324837154314	0.053240570699094894	0.0	0.05325447323097973	0.053246672386934625	0.0	0.0017734126635132964	0.0016590039133351443	1.9629736065951547E-4	3.42807293984387E-4	2.0	8.171473466105229E-5	2.2820788200663905E-4	2.0
