i	j	k	mean1	mean2	variance1	variance2	correlation	probabilitySum	probabilitySimApprox	probabilityBlackApprox	probabilitySimLevy	probabilitySimJu	probabilitySimHo	probabilityBlackLevy	probabilityBlackJu	probabilityBlackHo	normalizedErrorSimApprox	normalizedErrorBlackApprox	normalizedErrorSimLevy	normalizedErrorSimJu	normalizedErrorSimHo	normalizedErrorBlackLevy	normalizedErrorBlackJu	normalizedErrorBlackHo
0	6	0	-1.0	-2.0	3.1	3.5999999999999996	0.0	0.2804933540392947	0.257412313376801	0.25727211376508685	0.2965059370553671	0.287655202934391	0.0	0.2963065141330379	0.2874557800120618	0.0	0.08581817244412648	0.08636196135470288	0.05550295559529687	0.025211183966548412	2.0	0.054830664728996156	0.02451778004520211	2.0
0	6	1	-1.0	-2.0	3.1	3.5999999999999996	0.1	0.28344469290177615	0.26472664282043723	0.26458184925150857	0.29695764980747874	0.2902781918370576	0.0	0.2967593324602106	0.29007987448978945	0.0	0.06829269924038613	0.06883916087769189	0.04656410186983595	0.023821601393474674	2.0	0.04589640532096441	0.023138264567080766	2.0
0	6	2	-1.0	-2.0	3.1	3.5999999999999996	0.2	0.28669206272832076	0.2716158720437791	0.27154542989116137	0.29750406504527094	0.29264809240975165	0.0	0.2973815795458892	0.2925256069103699	0.0	0.05400672190229826	0.054265910252946636	0.03701497426268606	0.020561425368526037	2.0	0.03660331863614526	0.02014283917024845	2.0
0	6	3	-1.0	-2.0	3.1	3.5999999999999996	0.30000000000000004	0.2897347903246486	0.27829692244853743	0.27819211105314223	0.29835007363063637	0.2949884879571833	0.0	0.2982314676365828	0.29486988196312974	0.0	0.04027193418575309	0.040648468116244646	0.02929945602763491	0.017969859684643694	2.0	0.028901921485754548	0.01756774066955568	2.0
0	6	4	-1.0	-2.0	3.1	3.5999999999999996	0.4	0.2935374324373947	0.28466582339706387	0.28454721310364794	0.29953538829530224	0.29735839432546796	0.0	0.29938282096205776	0.2972058269922235	0.0	0.03068681800322073	0.031103470410747968	0.020226709598654337	0.012932776692656047	2.0	0.019717284039966785	0.012419590054639681	2.0
0	6	5	-1.0	-2.0	3.1	3.5999999999999996	0.5	0.29664499005676603	0.2905063142954977	0.2906328399285464	0.3007770954065717	0.29949575336311185	0.0	0.300925732254162	0.29964439021070216	0.0	0.02091003022820634	0.020474636777519806	0.013833118829549056	0.00956406129865191	2.0	0.014327148361089337	0.010060216576692118	2.0
0	6	6	-1.0	-2.0	3.1	3.5999999999999996	0.6000000000000001	0.300984380438501	0.2967384922189253	0.2964684357375308	0.3032421684223901	0.3025912470305785	0.0	0.30296430916938455	0.30231338777757294	0.0	0.01420687885239812	0.015117326686563497	0.007473316053872683	0.005324491311272507	2.0	0.006556612390926822	0.004405808902631114	2.0
0	6	7	-1.0	-2.0	3.1	3.5999999999999996	0.7000000000000001	0.3045453779881012	0.3015264144318284	0.30207122267018016	0.30503664670954117	0.30477895897417534	0.0	0.3056096714400715	0.3053519837047057	0.0	0.009962395854849612	0.008157229179802135	0.0016118215483260868	7.666885167876803E-4	2.0	0.0034885999975505467	0.0026450539624099222	2.0
0	6	8	-1.0	-2.0	3.1	3.5999999999999996	0.8	0.30875469904612207	0.3072059612891028	0.3074565490911408	0.30871094185404796	0.30864289121654354	0.0	0.30896676078246954	0.3088987101449651	0.0	0.005028690488695743	0.004213327682366877	1.4173158529216535E-4	3.6219068989553E-4	2.0	6.865933924533318E-4	4.6631685893760104E-4	2.0
0	6	9	-1.0	-2.0	3.1	3.5999999999999996	0.9	0.3125656554690423	0.3124846825379891	0.3126381699747506	0.3129606026804009	0.31291795354552326	0.0	0.31311531391846514	0.31307266478358753	0.0	2.5909251184911956E-4	2.3197076779497654E-4	0.0012627678093865729	0.001126482201623152	2.0	0.0017569927049592485	0.0016207744894542197	2.0
