Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time	
224.88	238.11	91.77	40.87	67.82	67.67	15.98	66.21	66.21	67.74	0.70	0.32	0.55	0.55	0.13	0.54	0.54	0.55	43.63	40.99	64.43	66.67	63.67	0.96	0.90	1.47	1.52	1.45	1.00	2.00	99.75	100.25	-0.51	99.75	-0.50	-0.21	-0.50	-0.22	0.50	
204.12	216.13	93.36	41.09	68.08	67.42	41.91	64.83	64.83	66.28	0.99	0.45	0.77	0.77	0.48	0.74	0.74	0.75	38.54	36.06	50.85	56.32	49.15	2.57	2.40	3.51	3.88	3.40	1.00	6.00	99.51	100.50	-0.50	99.51	-0.52	-0.26	-0.51	-0.24	1.00	
190.21	201.39	93.13	40.09	67.45	65.95	44.46	62.56	62.56	64.70	1.20	0.54	0.93	0.91	0.62	0.87	0.87	0.89	31.49	29.49	38.91	45.03	37.20	3.55	3.33	4.55	5.26	4.36	1.00	10.00	99.29	100.76	-0.51	99.29	-0.52	-0.27	-0.50	-0.25	1.50	
180.88	191.52	91.69	38.14	66.40	63.95	43.55	59.92	59.92	62.60	1.35	0.59	1.05	1.01	0.70	0.95	0.95	0.99	25.58	23.93	30.60	36.56	29.11	4.11	3.84	5.08	6.06	4.84	1.00	14.00	99.15	101.01	-0.53	99.15	-0.52	-0.26	-0.49	-0.26	2.00	
174.62	184.90	89.51	36.62	65.14	61.80	41.62	57.23	57.23	58.66	1.46	0.64	1.15	1.09	0.75	1.02	1.02	1.04	21.09	19.72	24.85	31.80	23.60	4.42	4.13	5.37	6.86	5.10	1.00	18.00	99.12	101.26	-0.53	99.13	-0.54	-0.30	-0.48	-0.25	2.50	
170.43	180.46	86.91	35.30	63.73	59.68	39.44	54.64	54.64	56.12	1.55	0.68	1.23	1.16	0.78	1.07	1.07	1.09	17.81	16.66	20.81	?	19.74	4.62	4.32	5.55	?	5.27	1.00	22.00	99.32	101.51	-0.52	99.34	-0.51	-0.29	-0.46	-0.24	3.00	
167.62	177.48	84.10	33.80	62.20	57.65	37.34	52.22	52.22	52.51	1.61	0.70	1.29	1.21	0.80	1.10	1.10	1.11	15.38	14.38	17.85	?	16.92	4.77	4.46	5.69	?	5.39	1.00	26.00	100.04	101.74	-0.50	100.30	-0.51	-0.31	-0.43	-0.23	3.50	
165.74	175.49	81.24	32.92	60.61	55.72	35.43	50.01	50.01	50.02	1.67	0.74	1.35	1.25	0.82	1.13	1.13	1.13	13.51	12.63	15.61	?	14.77	4.90	4.58	5.80	?	5.49	1.00	30.00	104.11	101.96	-0.46	108.11	-0.49	-0.29	-0.40	-0.20	4.00	
164.48	174.15	78.43	31.48	59.03	53.92	33.76	48.03	48.03	48.18	1.72	0.76	1.40	1.30	0.84	1.17	1.17	1.17	12.07	11.27	13.88	?	13.13	5.01	4.68	5.90	?	5.58	1.00	34.00	213.68	102.16	-0.44	243.28	-0.44	-0.23	-0.35	-0.15	4.50	
193.94	205.35	75.72	30.72	57.43	52.22	32.29	46.23	46.23	46.08	1.76	0.78	1.45	1.33	0.85	1.19	1.19	1.19	38.83	33.11	51.00	53.42	49.20	1.62	1.39	2.17	2.26	2.09	3.50	2.00	3936.43	102.34	-0.39	4142.48	-0.40	-0.19	-0.30	-0.10	5.00	
177.77	188.23	73.15	30.02	55.82	50.58	30.96	44.56	44.56	44.77	1.79	0.81	1.48	1.36	0.86	1.21	1.21	1.22	32.84	28.72	39.64	31.20	36.94	4.20	3.69	5.21	4.14	4.87	3.50	6.00	99999.00	102.50	-0.34	99999.00	-0.37	-0.15	-0.27	-0.07	5.50	
166.93	176.75	70.74	29.11	54.27	49.04	29.79	43.05	43.05	43.16	1.82	0.82	1.51	1.38	0.87	1.23	1.23	1.23	26.21	23.24	30.31	32.95	27.90	5.70	5.07	6.77	7.35	6.25	3.50	10.00	99999.00	102.63	-0.31	99999.00	-0.33	-0.13	-0.24	-0.05	6.00	
159.67	169.06	68.48	28.25	52.79	47.61	28.74	41.67	41.67	42.02	1.84	0.84	1.53	1.40	0.88	1.24	1.24	1.25	21.11	18.85	23.90	?	21.93	6.53	5.84	7.58	?	6.97	3.50	14.00	99999.00	102.75	-0.29	99999.00	-0.29	-0.10	-0.21	-0.03	6.50	
154.80	163.91	66.38	27.99	51.39	46.28	27.81	40.42	40.42	40.49	1.86	0.87	1.55	1.41	0.88	1.25	1.25	1.26	17.44	15.60	19.53	?	17.87	7.04	6.30	8.06	?	7.39	3.50	18.00	99999.00	102.86	-0.23	99999.00	-0.27	-0.09	-0.18	-0.02	7.00	
151.54	160.45	64.43	27.75	50.08	45.04	26.96	39.27	39.27	39.55	1.88	0.89	1.57	1.43	0.89	1.26	1.26	1.27	14.80	13.25	16.44	?	15.03	7.40	6.63	8.40	?	7.68	3.50	22.00	99999.00	102.95	-0.18	99999.00	-0.22	-0.06	-0.15	-0.00	7.50	
149.35	158.13	62.61	27.17	48.84	43.89	26.20	38.22	38.22	38.32	1.89	0.91	1.58	1.44	0.90	1.27	1.27	1.28	12.85	11.52	14.19	?	12.96	7.67	6.88	8.66	?	7.91	3.50	26.00	99999.00	103.03	-0.14	99999.00	-0.19	-0.05	-0.12	0.01	8.00	
147.88	156.58	60.93	26.72	47.69	42.82	25.50	37.25	37.25	37.35	1.91	0.92	1.59	1.45	0.90	1.28	1.28	1.29	11.36	10.19	12.50	?	11.41	7.90	7.09	8.87	?	8.11	3.50	30.00	99999.00	103.09	-0.11	99999.00	-0.16	-0.03	-0.09	0.03	8.50	
169.84	179.83	59.36	26.26	46.61	41.82	24.86	36.36	36.36	36.56	1.92	0.94	1.61	1.46	0.91	1.29	1.29	1.30	33.74	28.43	42.02	43.76	40.52	1.90	1.62	2.41	2.50	2.33	6.00	2.00	99999.00	103.14	-0.07	99999.00	-0.13	-0.01	-0.07	0.05	9.00	
157.25	166.50	57.90	25.73	45.60	40.89	24.27	35.54	35.54	35.85	1.93	0.95	1.62	1.48	0.91	1.30	1.30	1.31	27.87	24.34	32.59	144.55	30.40	4.81	4.22	5.74	17.08	5.37	6.00	6.00	99999.00	103.18	-0.04	99999.00	-0.10	0.02	-0.03	0.07	9.50	
148.81	157.56	56.53	25.23	44.65	40.03	23.72	34.78	34.78	34.78	1.95	0.96	1.64	1.49	0.92	1.31	1.31	1.31	22.27	19.78	25.15	?	23.16	6.53	5.82	7.52	?	6.94	6.00	10.00	99999.00	103.19	-0.01	99999.00	-0.08	0.04	0.00	0.10	10.00	
143.15	151.57	55.26	25.11	43.77	39.22	23.22	34.07	34.07	33.63	1.96	0.98	1.65	1.50	0.93	1.33	1.33	1.31	17.90	16.02	19.84	?	18.20	7.46	6.69	8.43	?	7.75	6.00	14.00	99999.00	103.19	0.05	99999.00	-0.05	0.05	0.04	0.13	10.50	
139.36	147.56	54.06	24.33	42.94	38.47	22.75	33.41	33.41	33.19	1.97	0.98	1.67	1.52	0.94	1.34	1.34	1.33	14.84	13.31	16.27	?	14.89	8.07	7.24	9.01	?	8.26	6.00	18.00	99999.00	103.18	0.06	99999.00	0.00	0.10	0.08	0.17	11.00	
136.82	144.87	52.94	24.03	42.16	37.76	22.31	32.80	32.80	32.52	1.99	1.00	1.68	1.53	0.94	1.35	1.35	1.34	12.67	11.36	13.78	?	12.59	8.51	7.64	9.43	?	8.62	6.00	22.00	99999.00	103.14	0.10	99999.00	0.04	0.14	0.12	0.21	11.50	
135.11	143.06	51.89	23.76	41.43	37.10	21.91	32.23	32.23	31.64	2.00	1.01	1.70	1.55	0.95	1.36	1.36	1.34	11.04	9.92	11.95	?	10.92	8.85	7.95	9.74	?	8.90	6.00	26.00	99999.00	103.08	0.15	99999.00	0.06	0.16	0.16	0.26	12.00	
151.07	159.96	50.90	23.42	40.74	36.48	21.52	31.69	31.69	31.18	2.02	1.02	1.71	1.56	0.96	1.38	1.38	1.36	29.82	25.98	36.44	38.43	35.09	2.05	1.80	2.52	2.65	2.44	8.50	2.00	99999.00	102.99	0.18	99999.00	0.11	0.21	0.20	0.30	12.50	
141.27	149.58	49.96	22.92	40.09	35.90	21.16	31.18	31.18	30.66	2.03	1.03	1.73	1.57	0.97	1.39	1.39	1.37	24.37	21.90	28.12	?	26.27	5.14	4.64	6.00	?	5.62	8.50	6.00	99999.00	102.89	0.21	99999.00	0.15	0.27	0.24	0.35	13.00	
134.70	142.62	49.07	22.15	39.48	35.35	20.82	30.71	30.71	30.34	2.04	1.02	1.74	1.59	0.98	1.40	1.40	1.39	19.42	17.66	21.65	?	20.04	6.96	6.35	7.87	?	7.30	8.50	10.00	99999.00	102.76	0.21	99999.00	0.21	0.33	0.29	0.39	13.50	
130.29	137.95	48.23	22.19	38.89	34.82	20.50	30.26	30.26	30.14	2.05	1.04	1.76	1.60	0.98	1.41	1.41	1.41	15.63	14.26	17.11	?	15.76	7.97	7.29	8.86	?	8.18	8.50	14.00	99999.00	102.62	0.27	99999.00	0.28	0.39	0.33	0.43	14.00	
127.34	134.83	47.44	22.12	38.33	34.33	20.19	29.83	29.83	29.66	2.06	1.06	1.77	1.61	0.99	1.42	1.42	1.41	13.01	11.88	14.10	?	12.94	8.63	7.89	9.49	?	8.73	8.50	18.00	99999.00	102.45	0.33	99999.00	0.33	0.42	0.36	0.47	14.50	
125.36	132.73	46.68	21.95	37.80	33.85	19.90	29.42	29.42	29.33	2.07	1.08	1.78	1.62	1.00	1.43	1.43	1.43	11.12	10.16	11.97	?	10.97	9.08	8.31	9.92	?	9.11	8.50	22.00	99999.00	102.26	0.37	99999.00	0.36	0.46	0.40	0.50	15.00	
136.46	144.49	45.96	21.68	37.29	33.40	19.62	29.02	29.02	28.94	2.08	1.08	1.79	1.63	1.00	1.44	1.44	1.43	27.26	23.73	32.74	30.53	31.22	2.19	1.92	2.64	2.47	2.52	11.00	2.00	99999.00	102.06	0.39	99999.00	0.40	0.49	0.43	0.53	15.50	
128.82	136.40	45.27	21.26	36.80	32.96	19.35	28.64	28.64	28.66	2.08	1.08	1.79	1.63	1.00	1.44	1.44	1.44	22.21	19.86	25.27	18.26	23.37	5.48	4.92	6.30	4.62	5.85	11.00	6.00	99999.00	101.84	0.40	99999.00	0.42	0.53	0.46	0.56	16.00	
123.70	130.98	44.62	21.15	36.32	32.53	19.09	28.27	28.27	28.47	2.09	1.09	1.80	1.64	1.01	1.45	1.45	1.46	17.45	15.83	19.24	24.29	17.71	7.31	6.65	8.17	10.21	7.54	11.00	10.00	99999.00	101.61	0.44	99999.00	0.46	0.57	0.49	0.58	16.50	
120.27	127.35	43.99	20.95	35.86	32.12	18.83	27.91	27.91	28.03	2.09	1.10	1.80	1.64	1.01	1.45	1.45	1.46	14.04	12.79	15.24	47.85	13.98	8.33	7.60	9.17	26.32	8.43	11.00	14.00	99999.00	101.36	0.47	99999.00	0.49	0.59	0.51	0.60	17.00	
125.08	132.43	43.39	20.68	35.41	31.72	18.58	27.56	27.56	27.92	2.09	1.10	1.81	1.65	1.01	1.46	1.46	1.47	25.53	21.58	30.11	27.79	28.55	2.33	1.99	2.76	2.57	2.63	13.50	2.00	99999.00	101.10	0.48	99999.00	0.51	0.64	0.53	0.62	17.50	
