0,1
0.506,0.998214
0.592,0.997797
0.672,0.997388
0.756,0.996996
0.839,0.996552
0.928,0.996095
1.011,0.995606
1.256,0.994211
1.506,0.992655
2.008,0.989011
3.006,0.97975
4.006,0.967109
5.006,0.950937
6.006,0.931739
7.011,0.910087
8.006,0.886884
9.006,0.862535
10.006,0.837757
11.006,0.812742
12.011,0.787689
13.008,0.763375
14.006,0.739672
15.006,0.717318
16.006,0.696136
17.006,0.676352
18.011,0.657356
19.008,0.639465
20.006,0.622179
21.006,0.605513
22.006,0.58972
23.006,0.574678
24.008,0.560206
25.006,0.546247
26.006,0.532895
27.006,0.520005
28.006,0.507786
29.011,0.495567
30.008,0.483289
35.011,0.422705
40.011,0.366
50.006,0.272306
60.006,0.20373
