Component1	Component2	Covariance
0	0	0.0
0	1	0.0
0	2	0.0
0	3	0.0
0	4	0.0
0	5	0.0
0	6	0.0
0	7	0.0
0	8	0.0
0	9	0.0
0	10	0.0
0	11	0.0
0	12	0.0
0	13	0.0
0	14	0.0
0	15	0.0
0	16	0.0
0	17	0.0
0	18	0.0
0	19	0.0
0	20	0.0
0	21	0.0
0	22	0.0
0	23	0.0
0	24	0.0
0	25	0.0
0	26	0.0
0	27	0.0
0	28	0.0
0	29	0.0
0	30	0.0
0	31	0.0
0	32	0.0
0	33	0.0
0	34	0.0
0	35	0.0
0	36	0.0
0	37	0.0
0	38	0.0
0	39	0.0
0	40	0.0
0	41	0.0
0	42	0.0
0	43	0.0
0	44	0.0
0	45	0.0
0	46	0.0
0	47	0.0
0	48	0.0
0	49	0.0
0	50	0.0
0	51	0.0
0	52	0.0
0	53	0.0
0	54	0.0
0	55	0.0
0	56	0.0
0	57	0.0
0	58	0.0
0	59	0.0
0	60	0.0
0	61	0.0
0	62	0.0
0	63	0.0
0	64	0.0
0	65	0.0
0	66	0.0
0	67	0.0
0	68	0.0
0	69	0.0
0	70	0.0
0	71	0.0
0	72	0.0
0	73	0.0
0	74	0.0
0	75	0.0
0	76	0.0
0	77	0.0
0	78	0.0
0	79	0.0
1	0	0.0
1	1	0.25030200534507
1	2	0.25937410668018
1	3	0.25572308995453985
1	4	0.24115626793213796
1	5	0.21737009407345087
1	6	0.18746335305699388
1	7	0.15598440638957656
1	8	0.12718929547298313
1	9	0.10344347475621382
1	10	0.08512501392200585
1	11	0.07141161099922512
1	12	0.06105665981040148
1	13	0.052914221187484456
1	14	0.04622760245364012
1	15	0.04062869764514931
1	16	0.03591797487486413
1	17	0.03186683995948264
1	18	0.028173558931196434
1	19	0.024558026426190083
1	20	0.02093798131470326
1	21	0.017518872809791197
1	22	0.014631570810050861
1	23	0.012480723020203477
1	24	0.011056898239362373
1	25	0.010186277675160617
1	26	0.009624036625438745
1	27	0.009187775151551945
1	28	0.008832866652214407
1	29	0.00855668667811502
1	30	0.008251207451594609
1	31	0.007682163168390556
1	32	0.006767332438668911
1	33	0.005852621001916517
1	34	0.005358031709534631
1	35	0.005324263821155481
1	36	0.005305086788724221
1	37	0.005216396701290527
1	38	0.005314311626646384
1	39	0.0032784424882606154
1	40	0.0
1	41	0.125151002672535
1	42	0.12968705334009
1	43	0.12786154497726993
1	44	0.12057813396606898
1	45	0.10868504703672544
1	46	0.09373167652849694
1	47	0.07799220319478828
1	48	0.06359464773649157
1	49	0.05172173737810691
1	50	0.04256250696100292
1	51	0.03570580549961256
1	52	0.03052832990520074
1	53	0.026457110593742228
1	54	0.02311380122682006
1	55	0.020314348822574654
1	56	0.017958987437432065
1	57	0.01593341997974132
1	58	0.014086779465598217
1	59	0.012279013213095042
1	60	0.01046899065735163
1	61	0.008759436404895599
1	62	0.007315785405025431
1	63	0.0062403615101017385
1	64	0.005528449119681186
1	65	0.005093138837580309
1	66	0.0048120183127193725
1	67	0.0045938875757759725
1	68	0.004416433326107204
1	69	0.00427834333905751
1	70	0.0041256037257973045
1	71	0.003841081584195278
1	72	0.0033836662193344556
1	73	0.0029263105009582585
1	74	0.0026790158547673154
1	75	0.0026621319105777407
1	76	0.0026525433943621105
1	77	0.0026081983506452636
1	78	0.002657155813323192
1	79	0.0016392212441303077
2	0	0.0
2	1	0.25937410668018
2	2	0.2695935956399332
2	3	0.26711205581441316
2	4	0.25361747637318777
2	5	0.23057809925210482
2	6	0.2008831562578181
2	7	0.16902499113739905
2	8	0.13937089492840554
2	9	0.11445775200503376
2	10	0.09479725137996346
2	11	0.07964278025747108
2	12	0.06780195246090144
2	13	0.058208393634228583
2	14	0.05021825748955634
2	15	0.04356376540455689
2	16	0.03808636432639558
2	17	0.03353833621757275
2	18	0.029565543981323477
2	19	0.025823249468370533
2	20	0.02216305005457788
2	21	0.018734055810431027
2	22	0.015830845766606514
2	23	0.013639427280202912
2	24	0.012138060716723438
2	25	0.011142082229493542
2	26	0.010408172282156035
2	27	0.009782295068087666
2	28	0.009263425886452745
2	29	0.008880243108987761
2	30	0.008535648485591385
2	31	0.007988146155324961
2	32	0.007127853229569319
2	33	0.006266654064926758
2	34	0.0058001982736488635
2	35	0.005733968940534089
2	36	0.005590865381191091
2	37	0.005370347413277763
2	38	0.005449092545136866
2	39	0.003502258611254557
2	40	0.0
2	41	0.12968705334009
2	42	0.1347967978199666
2	43	0.13355602790720658
2	44	0.12680873818659388
2	45	0.11528904962605241
2	46	0.10044157812890905
2	47	0.08451249556869952
2	48	0.06968544746420277
2	49	0.05722887600251688
2	50	0.04739862568998173
2	51	0.03982139012873554
2	52	0.03390097623045072
2	53	0.029104196817114292
2	54	0.02510912874477817
2	55	0.021781882702278446
2	56	0.01904318216319779
2	57	0.016769168108786377
2	58	0.014782771990661739
2	59	0.012911624734185266
2	60	0.01108152502728894
2	61	0.009367027905215514
2	62	0.007915422883303257
2	63	0.006819713640101456
2	64	0.006069030358361719
2	65	0.005571041114746771
2	66	0.0052040861410780175
2	67	0.004891147534043833
2	68	0.0046317129432263725
2	69	0.0044401215544938805
2	70	0.004267824242795692
2	71	0.0039940730776624805
2	72	0.0035639266147846596
2	73	0.003133327032463379
2	74	0.0029000991368244317
2	75	0.0028669844702670444
2	76	0.0027954326905955456
2	77	0.0026851737066388814
2	78	0.002724546272568433
2	79	0.0017511293056272784
3	0	0.0
3	1	0.25572308995453985
3	2	0.2671120558144132
3	3	0.26676180717455816
3	4	0.2560405053881679
3	5	0.23593050815271735
3	6	0.20876224708543806
3	7	0.17860790700437654
3	8	0.14970208272858063
3	9	0.12468208088843664
3	10	0.10424365536622512
3	11	0.08781800030763988
3	12	0.07438574564917709
3	13	0.06308633221356495
3	14	0.053508611323544286
3	15	0.045572775882521226
3	16	0.039203437305049105
3	17	0.034141913507280706
3	18	0.029973707899253067
3	19	0.026271507959340103
3	20	0.022788061507587203
3	21	0.019570085705448718
3	22	0.016833500385287775
3	23	0.014721896086461335
3	24	0.013194720556401182
3	25	0.012060797188075649
3	26	0.01109399658275412
3	27	0.010196649969899831
3	28	0.009440746280638646
3	29	0.008906210340205011
3	30	0.008520651878855213
3	31	0.008044959400726444
3	32	0.007329327149117873
3	33	0.006610799233682851
3	34	0.006222015696318349
3	35	0.006109201107890359
3	36	0.005769235166135709
3	37	0.005341867325989059
3	38	0.0053873828260185865
3	39	0.0036965556121575515
3	40	0.0
3	41	0.12786154497726993
3	42	0.1335560279072066
3	43	0.13338090358727908
3	44	0.12802025269408396
3	45	0.11796525407635867
3	46	0.10438112354271903
3	47	0.08930395350218827
3	48	0.07485104136429031
3	49	0.06234104044421832
3	50	0.05212182768311256
3	51	0.04390900015381994
3	52	0.037192872824588545
3	53	0.031543166106782476
3	54	0.026754305661772143
3	55	0.022786387941260613
3	56	0.019601718652524552
3	57	0.017070956753640353
3	58	0.014986853949626533
3	59	0.013135753979670052
3	60	0.011394030753793602
3	61	0.009785042852724359
3	62	0.008416750192643888
3	63	0.007360948043230667
3	64	0.006597360278200591
3	65	0.006030398594037824
3	66	0.00554699829137706
3	67	0.0050983249849499155
3	68	0.004720373140319323
3	69	0.004453105170102506
3	70	0.004260325939427607
3	71	0.004022479700363222
3	72	0.0036646635745589363
3	73	0.0033053996168414257
3	74	0.0031110078481591747
3	75	0.0030546005539451794
3	76	0.0028846175830678543
3	77	0.0026709336629945294
3	78	0.0026936914130092932
3	79	0.0018482778060787757
4	0	0.0
4	1	0.24115626793213793
4	2	0.25361747637318777
4	3	0.2560405053881679
4	4	0.2493294144063776
