Component1	Component2	Correlation
2	43	0.6972281594029817
2	44	0.6847557263116023
2	45	0.6571187142004865
2	46	0.6133444699557864
2	47	0.559109224932639
2	48	0.5036935932312329
2	49	0.45481952236868173
2	50	0.4161087112782522
2	51	0.38741845805682823
2	52	0.36624908569371284
2	53	0.3494857918608973
2	54	0.3351193011213613
2	55	0.3228127389419141
2	56	0.31283386879369285
2	57	0.3045798812056499
2	58	0.29590351272494203
2	59	0.28372124395965215
2	60	0.2661318103192874
2	61	0.24465328782778784
2	62	0.2236556815354224
2	63	0.20730887094684916
2	64	0.19735065221311754
2	65	0.1926743789733594
2	66	0.19033785547401777
2	67	0.1881366996592538
2	68	0.18636920212330743
2	69	0.1859564159741142
2	70	0.18516862194389058
2	71	0.17874838188670739
2	72	0.16387296700105114
2	73	0.14749977764567235
2	74	0.13932332603397887
2	75	0.1401639333679049
2	76	0.138733391899952
2	77	0.13498376268880577
2	78	0.1384712163490931
2	79	0.08983160084562648
3	0	0.9864393846695865
3	1	0.9896370670105072
3	2	0.9960402277185452
3	3	0.9999999999999996
3	4	0.9927961671140633
3	5	0.9656167799641627
3	6	0.9153934773821373
3	7	0.8484794678642462
3	8	0.7769929900972498
3	9	0.7115293969878292
3	10	0.6571365365216405
3	11	0.6134968815598347
3	12	0.5770573669994377
3	13	0.543968947703636
3	14	0.5128099022172067
3	15	0.48498204088472235
3	16	0.4624484362687271
3	17	0.44528952270843375
3	18	0.43082375085941166
3	19	0.4145346959002139
3	20	0.39297919978312074
3	21	0.3670345051631506
3	22	0.3415428284189466
3	23	0.32135156533537074
3	24	0.30809480644809656
3	25	0.2995218732279799
3	26	0.2913624949600455
3	27	0.2816340716589007
3	28	0.27277449532959236
3	29	0.26783922502034074
3	30	0.26545970957610177
3	31	0.25853234981487216
3	32	0.24199567017874557
3	33	0.22346243794968082
3	34	0.21463819943536697
3	35	0.21446690388010436
3	36	0.2055962226978955
3	37	0.19282669867715904
3	38	0.1966111216637718
3	39	0.13616738324832672
3	40	0.6905075692687105
3	41	0.692745946907355
3	42	0.6972281594029817
3	43	0.6999999999999997
3	44	0.6949573169798442
3	45	0.6759317459749139
3	46	0.640775434167496
3	47	0.5939356275049723
3	48	0.5438950930680746
3	49	0.4980705778914805
3	50	0.4599955755651485
3	51	0.4294478170918843
3	52	0.4039401568996065
3	53	0.3807782633925453
3	54	0.3589669315520446
3	55	0.3394874286193055
3	56	0.3237139053881089
3	57	0.3117026658959036
3	58	0.3015766256015881
3	59	0.29017428713014976
3	60	0.2750854398481845
3	61	0.2569241536142054
3	62	0.23907997989326266
3	63	0.22494609573475957
3	64	0.21566636451366758
3	65	0.20966531125958596
3	66	0.20395374647203188
3	67	0.1971438501612304
3	68	0.19094214673071466
3	69	0.18748745751423848
3	70	0.18582179670327129
3	71	0.18097264487041048
3	72	0.16939696912512187
3	73	0.15642370656477655
3	74	0.15024673960475685
3	75	0.15012683271607305
3	76	0.14391735588852675
3	77	0.13497868907401128
3	78	0.1376277851646402
3	79	0.0953171682738287
4	0	0.9597634392601682
4	1	0.965338508783918
4	2	0.9782224661594319
4	3	0.9927961671140633
4	4	1.0000000000000002
4	5	0.989794438898493
4	6	0.9569069196117577
4	7	0.9052605570673676
4	8	0.8452953049482264
4	9	0.7868916464710736
4	10	0.7348640428754809
4	11	0.6887302426703186
4	12	0.6449626295083509
4	13	0.6004991942314901
4	14	0.5558164440726453
4	15	0.5147967019329049
4	16	0.4815050302720895
4	17	0.4572981854571379
4	18	0.4400489341579592
4	19	0.42514750961925285
4	20	0.4082460270115615
4	21	0.38855468447930686
4	22	0.36907580423301445
4	23	0.3531846782461922
4	24	0.3413900789741048
4	25	0.3305559581726996
4	26	0.316308190653995
4	27	0.29816058815080576
4	28	0.2811557380627113
4	29	0.2706171122398909
4	30	0.2666262621730859
4	31	0.26262923012261047
4	32	0.2522458166699335
4	33	0.24007528475182244
4	34	0.23504182364317774
4	35	0.233192168450637
4	36	0.21554403442512884
4	37	0.1932039957412801
4	38	0.1955060010480739
